SalePrice,Gr_Liv_Area,Lot_Area,Year_Built,Total_Bsmt_SF,Central_Air,Overall_Cond
328000,2260,14000,1996,1306,Y,5
270000,1483,20062,1977,1420,Y,7
85000,756,9259,1927,660,N,4
128000,1067,9600,1950,1067,Y,7
260000,1524,23595,1979,1332,Y,6
230000,1981,17082,1978,1117,Y,5
124000,1610,18600,1938,972,Y,4
83000,835,10625,1920,458,N,5
144500,1074,11479,1950,663,Y,7
129000,1144,9571,1956,1144,Y,6
127000,1531,9350,1947,756,Y,6
128000,1172,9525,1954,1172,Y,7
186000,1212,10420,2009,1212,Y,5
308030,1508,17485,2009,1508,Y,5
114000,1298,11200,1964,1250,Y,3
84900,930,11100,1946,0,Y,7
178000,1732,9206,1985,741,Y,5
270000,1433,11980,1987,1433,Y,5
218000,1802,12361,1993,946,Y,7
236000,1949,9938,1993,1050,Y,5
147000,996,9069,1992,936,Y,6
245350,1694,10475,2008,1694,Y,5
206000,1208,6762,2006,1187,Y,5
198900,1226,10402,2009,1226,Y,5
187000,1222,7360,2010,1222,Y,5
320000,3222,12376,1990,1673,Y,5
138500,1445,14235,1900,676,Y,8
155000,1052,8816,1971,1010,Y,7
159000,965,11105,1996,870,Y,5
191000,1692,9337,1997,878,Y,5
200500,1682,8750,1998,804,Y,5
150000,1026,15240,1977,1026,Y,8
161750,1392,10900,1977,689,Y,7
128200,894,10650,1976,894,Y,6
127000,876,7480,1972,876,Y,6
318000,1978,10389,2003,1978,Y,5
272000,1601,11423,2001,1581,Y,5
237000,1829,9548,2003,941,Y,6
240000,2098,9375,1997,1040,Y,5
224900,1661,12137,1998,1649,Y,5
143750,848,4435,2003,848,Y,5
143000,848,4426,2004,848,Y,5
232000,1668,10635,2003,1657,Y,5
213000,1484,8400,2004,1473,Y,5
185500,1414,8773,2004,1414,Y,5
84900,640,8777,1945,0,N,6
155891,992,8842,1954,381,Y,6
100000,1664,9825,1965,0,N,5
144000,1196,10044,1968,1196,Y,6
64000,1120,11792,1948,744,N,5
125200,1096,6305,1975,1008,Y,6
107000,1117,7819,1976,1029,Y,5
90000,960,6410,1958,960,Y,5
140000,1121,8546,2003,1121,Y,5
113000,1487,8741,1945,735,Y,4
80000,924,12180,1941,672,N,4
144500,1526,8562,1957,1216,Y,6
104000,1296,4853,1924,1107,N,6
128000,1647,6858,1915,806,N,4
58500,864,8212,1914,864,N,3
127000,1691,5000,1924,1026,Y,6
126000,856,7890,1939,856,Y,6
160000,2650,7200,1967,0,Y,6
100000,1666,9839,1931,894,Y,2
169000,2447,9638,1919,804,Y,7
257500,2133,10452,1941,1528,Y,6
215000,2177,15600,1950,1032,Y,6
266500,2340,9042,1941,1152,Y,9
335000,1902,17500,1959,1902,Y,8
203135,1652,19645,1994,423,Y,6
185000,1034,3907,1989,982,Y,6
162500,1191,3907,1989,1191,Y,5
289000,1801,15602,1959,1501,Y,8
125500,1154,5436,1922,796,Y,8
82000,540,8154,1941,480,Y,5
110000,1107,9140,1921,629,Y,5
68400,1128,7500,1920,698,Y,4
102776,1178,8712,1900,859,Y,7
55993,1044,8712,1952,540,N,5
50138,952,8712,1896,756,Y,7
246000,1646,3811,2004,1594,Y,5
254900,1916,11050,1998,1049,Y,5
190000,1285,9620,1977,1243,Y,7
201000,1560,9196,2003,1560,Y,5
169900,1034,12328,1976,1012,Y,5
170000,2048,12760,1976,1958,Y,5
160000,1687,57200,1948,747,Y,5
220000,1346,11896,2008,1336,Y,5
179781,1214,9803,2009,1214,Y,5
174000,1444,9802,2006,384,Y,5
269500,1968,12003,2009,774,Y,5
214900,1894,11316,2002,817,Y,5
202900,1908,14191,2002,967,Y,5
378500,2018,13214,2008,2002,Y,5
169000,1264,15300,1965,1068,Y,5
173500,1430,10114,2004,1430,Y,5
139000,1824,9400,1971,912,Y,5
166500,1344,11875,1999,1344,Y,5
83500,1092,1974,1973,546,Y,5
119500,945,2394,1973,945,Y,6
85000,1112,2592,1976,536,Y,3
76000,1092,1476,1970,546,Y,7
75500,630,1491,1972,630,Y,6
88250,1092,1900,1970,546,Y,4
85500,1092,1890,1972,546,Y,6
130000,874,6953,1971,864,Y,7
157900,1188,26142,1962,1188,Y,7
149900,833,12887,1984,833,Y,7
159000,2432,7700,1985,1216,Y,2
136000,1274,10475,1991,624,Y,5
161000,1479,10544,1969,864,Y,5
285000,1803,9892,1994,1679,Y,5
231000,1797,12961,1993,1152,Y,5
124500,882,13008,1956,882,Y,5
157000,1434,10200,1974,1434,Y,5
345000,2704,13860,1972,1952,Y,7
189500,1608,10179,1997,945,Y,5
270000,2283,11792,2003,1008,Y,5
189000,1628,8400,1996,384,Y,5
377500,1746,14892,2006,1746,Y,5
168500,1474,8530,1995,384,Y,5
375000,2522,7296,2004,2208,Y,5
278000,1659,5664,2000,1501,Y,5
240000,1478,7380,1998,1418,Y,5
239500,1734,8013,1995,1587,Y,5
177500,1382,8923,1998,384,Y,5
185000,1718,10141,1998,832,Y,5
191000,1636,7500,1998,952,Y,5
178000,1571,7837,1993,799,Y,7
185000,1470,9765,1993,680,Y,8
181316,1516,8803,1994,707,Y,5
166000,1190,7250,1993,1181,Y,5
178000,1593,9636,1992,808,Y,5
174000,1481,8125,1994,702,Y,5
173000,1167,9248,1992,1158,Y,6
225000,1983,10762,1999,978,Y,5
180500,1442,11851,1990,1424,Y,5
187500,1360,5814,1984,1220,Y,5
501837,2234,17423,2008,2216,Y,5
372500,2046,11844,2008,2046,Y,5
260000,1530,16158,2005,1530,Y,5
185000,1934,11900,1977,1122,Y,6
260000,2353,13005,1980,845,Y,7
181000,1586,17043,1979,1362,Y,5
82500,1411,11900,1977,1386,Y,5
215000,1602,16635,1977,1602,Y,7
154000,2050,13250,1978,832,Y,6
200000,1671,10928,1978,1427,Y,6
249000,2673,12388,1980,1043,Y,7
187500,1472,14115,1980,1372,Y,5
184000,1707,11088,1978,1140,Y,5
278000,2524,9600,1981,2524,Y,5
157000,1601,11880,1978,1271,Y,5
152000,1370,10400,1976,1090,Y,5
197500,1868,10304,1976,780,Y,7
240900,1884,7000,2003,926,Y,5
263435,1935,8004,2009,832,Y,5
220000,1874,7500,2000,1058,Y,5
235000,1811,8470,2002,972,Y,5
213000,1621,9373,1975,1621,Y,7
167900,1116,10140,1974,1116,Y,6
158000,1193,11050,1975,1176,Y,5
165000,1350,10140,1974,1064,Y,5
158000,2119,10448,1972,689,Y,6
136000,1792,9000,1974,896,Y,5
148500,1002,8750,1970,1002,Y,6
156000,1026,7930,1969,1026,Y,8
128000,1180,7830,1970,1180,Y,5
143000,1050,8510,1971,1043,Y,7
76500,864,7038,1970,864,Y,6
120500,864,6960,1970,864,Y,6
124500,864,8120,1970,864,Y,7
97000,864,10500,1971,864,Y,6
130000,864,9000,1971,864,Y,7
111000,987,1680,1973,483,Y,5
125000,1365,2368,1970,765,Y,6
112000,1302,1680,1971,630,Y,5
97000,987,1680,1972,483,Y,6
118000,987,1680,1972,483,Y,8
119500,1302,1680,1972,630,Y,7
143750,958,4928,1976,958,Y,6
146000,1548,2308,1976,804,Y,5
148500,1456,2280,1976,855,Y,6
123000,1055,2280,1975,1057,Y,5
147000,1322,2308,1974,855,Y,5
137900,1456,2349,1977,855,Y,5
147000,1548,2364,1978,804,Y,5
148500,1441,2289,1978,855,Y,6
138000,1456,2364,1978,855,Y,5
128500,836,2104,1976,836,Y,6
100000,892,7150,1967,892,Y,5
148800,1120,10710,1966,864,Y,7
337500,1718,12456,2006,1700,Y,5
462000,2772,14257,2007,1776,Y,5
485000,3140,13518,2008,1926,Y,5
555000,2402,15431,2008,3094,Y,5
325000,1652,13173,2006,1652,Y,5
256300,1600,14230,2007,1566,Y,5
253293,2042,12704,2008,2042,Y,5
398800,2690,12350,2009,1365,Y,5
335000,2184,11308,2008,1104,Y,5
404000,2020,12350,2008,2020,Y,5
402861,2020,12220,2009,2006,Y,5
451950,2296,13478,2008,1722,Y,5
610000,2674,13693,2007,2630,Y,5
582933,2822,13891,2008,1734,Y,5
360000,1736,11578,2008,1736,Y,5
296000,1782,16870,2004,1782,Y,5
409900,2520,23303,2007,1508,Y,5
255500,1717,11146,2006,1709,Y,5
335000,1743,10367,2008,1739,Y,5
274900,1713,9591,2004,1713,Y,5
300000,1531,10872,2006,1504,Y,5
324000,1808,13514,2008,1774,Y,5
350000,2224,8834,2004,1462,Y,5
280000,1836,11362,2004,1836,Y,5
284000,1629,10655,2003,3206,Y,5
269500,1760,12878,2003,1760,Y,5
233170,1502,9541,2009,1502,Y,5
386250,2392,13472,2003,2392,Y,5
445000,2452,15274,2003,2452,Y,5
290000,2400,13262,2003,1082,Y,5
255900,1606,9658,2006,1598,Y,5
213000,1358,6904,2005,1358,Y,5
196000,1306,5381,2005,1306,Y,5
184500,1306,5122,2005,1306,Y,5
212500,1358,10307,2007,1350,Y,5
230000,1314,5001,2007,1314,Y,5
552000,2492,14836,2004,2492,Y,5
382500,2200,15262,2003,2200,Y,5
320000,1884,7390,2008,1884,Y,5
248500,1456,6472,2008,1451,Y,5
286500,1712,16770,2002,1712,Y,5
254000,1324,6240,2006,1324,Y,5
173000,1405,3480,2003,1405,Y,5
173000,1626,2268,2003,764,Y,5
184000,1456,10928,2005,728,Y,5
167800,1490,8918,2005,745,Y,5
174000,1484,12589,2005,742,Y,5
174000,1560,11911,2005,684,Y,5
174000,1555,3684,2007,1373,Y,5
175900,1569,3635,2007,1386,Y,5
192500,1555,3182,2005,1373,Y,5
181000,1504,3182,2005,1346,Y,5
180000,1220,3182,2005,1220,Y,5
160200,1145,3182,2005,1145,Y,5
188500,1432,7795,2004,716,Y,5
200000,2267,8068,2002,1010,Y,5
170000,1374,9434,2004,384,Y,5
189500,1630,7984,2004,868,Y,5
184100,1419,7750,2002,408,Y,5
195500,1594,10125,2004,846,Y,5
192000,1489,8965,2003,782,Y,5
178000,1342,8174,2003,698,Y,5
207500,1314,5063,2007,1314,Y,5
236000,2256,8795,2000,952,Y,5
257500,2004,12891,2002,870,Y,5
244000,2054,12224,2000,992,Y,5
167000,1374,9734,2004,384,Y,5
179000,1800,8123,2000,982,Y,5
190000,1514,8433,2000,794,Y,5
156000,1430,7750,1999,384,Y,5
245000,2312,15896,1999,1177,Y,5
181000,1675,24682,1999,841,Y,5
214000,2060,8755,1999,992,Y,5
168000,1430,7848,1999,384,Y,6
337000,2365,9430,1999,1252,Y,5
403000,2794,15138,1995,1462,Y,5
327000,2687,12720,2000,1455,Y,5
340000,2450,16545,1998,1284,Y,5
336000,2612,12203,1998,1225,Y,5
265000,2344,10208,1996,1264,Y,5
315000,2063,10750,1994,2024,Y,5
260000,2646,9900,1993,1347,Y,5
260000,2061,9085,1995,1070,Y,5
263550,2232,11692,1993,1173,Y,5
402000,2448,46589,1994,1629,Y,7
248000,1850,29959,1994,973,Y,6
244600,1468,9612,2008,1468,Y,5
275000,1696,11194,2008,1696,Y,5
257500,1658,10206,2008,1614,Y,5
287090,1578,9262,2008,1573,Y,5
275500,1702,10130,2007,1702,Y,5
245000,1432,9139,2006,1422,Y,5
253000,1971,9675,2005,1113,Y,5
468000,2490,11128,2005,2458,Y,5
252678,1852,8640,2009,900,Y,5
210000,1590,9000,2008,768,Y,5
208300,1218,7862,2009,1218,Y,5
225000,1436,7993,2008,1436,Y,5
229456,1314,8640,2009,1300,Y,5
229800,1402,8640,2008,1402,Y,5
250000,1530,12606,2007,1530,Y,5
370878,1766,9187,2009,1766,Y,5
238500,1448,7500,2006,1372,Y,5
310000,2007,11003,2008,1017,Y,5
270000,1795,10603,2006,900,Y,5
252000,1953,10574,2005,1082,Y,5
241000,1550,8125,2006,1092,Y,5
264500,1836,8125,2008,1836,Y,5
291000,1662,10625,2006,1652,Y,5
263000,2094,9375,2003,912,Y,5
185000,1221,7500,2004,1221,Y,5
234500,1553,8736,2003,1553,Y,5
209000,1653,8127,2003,812,Y,5
159000,1218,9605,2007,1218,Y,6
152000,1141,7500,2006,1141,Y,5
143500,1158,7500,2004,1158,Y,5
193000,1812,10628,2004,835,Y,5
203000,1512,10141,2004,1512,Y,5
184900,1200,10083,2003,1176,Y,5
159000,1114,13072,2004,1114,Y,5
142000,1114,13072,2004,1114,Y,5
153000,1114,12450,2003,1114,Y,5
224243,1450,7328,2008,1450,Y,5
220000,2122,11492,1996,913,Y,5
257000,1844,10994,2005,1844,Y,5
189000,1434,8529,2001,1454,Y,5
171500,1730,7703,1992,816,Y,6
120000,1217,10762,1980,626,Y,6
145000,1332,7175,1990,1332,Y,5
184000,1540,9109,1994,754,Y,5
162000,1400,10274,1986,676,Y,7
160000,1882,8250,1981,0,Y,7
82000,841,8400,1950,721,Y,4
76000,784,9000,1928,784,N,3
110000,980,9750,1962,980,Y,5
135000,980,7064,1977,980,Y,6
141000,864,8499,1961,864,Y,6
122000,864,9079,1961,864,Y,5
124100,1020,9316,1965,1024,Y,5
129000,912,7791,1963,912,Y,8
131400,1144,10000,1961,864,Y,6
62383,864,8281,1965,864,Y,5
123000,912,7150,1962,912,Y,6
275000,2014,15676,1980,2014,Y,8
235000,1755,11949,1991,975,Y,8
280750,3005,2880,2004,1376,Y,5
164500,1224,3951,2009,612,Y,5
173733,1224,3000,2009,612,Y,5
222000,1726,3830,2008,1726,Y,5
195000,1256,4217,2008,1145,Y,5
172500,1471,3230,1999,729,Y,5
180000,1512,2998,2000,756,Y,5
156000,1452,3768,1999,691,Y,5
172500,1739,2645,1999,970,Y,5
318750,1694,14694,1977,1694,Y,9
211500,1226,3782,1981,1226,Y,5
241600,1740,15417,1981,1740,Y,5
180500,2499,9600,1976,392,Y,5
150000,1620,9991,1976,1281,Y,4
154000,1556,11700,1968,727,Y,6
185000,1442,11717,1970,1442,Y,6
185750,1489,9156,1968,1489,Y,7
200000,2090,10382,1973,1107,Y,6
206000,2067,12732,1974,752,Y,6
162000,1395,12936,1972,723,Y,6
256900,2640,10400,1967,932,Y,7
197900,1724,17871,1967,1680,Y,5
163000,1336,9600,1969,1288,Y,5
113000,1216,9000,1969,1216,Y,5
230000,2288,13774,1977,908,Y,7
167900,1334,9650,1977,1350,Y,5
213250,1680,10140,1998,1650,Y,5
227000,1665,8400,2001,810,Y,6
130000,864,7130,1967,864,Y,6
143000,1568,9600,1967,1568,Y,5
117500,925,9100,1965,925,Y,6
168500,2061,9600,1974,1165,Y,5
172500,1320,16500,1971,1232,Y,5
161500,1342,9790,1967,1372,Y,5
141500,894,7436,1960,894,Y,7
118000,864,8125,1959,864,Y,7
127500,864,9100,1959,864,Y,6
140000,1362,9450,1957,1040,Y,5
177625,1728,13495,1956,1048,Y,6
110000,1776,11475,1958,1584,Y,5
167000,1516,10004,1964,1516,Y,6
153000,1313,9350,1961,1313,Y,6
145100,1292,10500,1964,1292,Y,5
154000,1154,11000,1966,1154,Y,6
177500,2140,8970,1965,744,Y,6
158000,1445,12095,1964,1127,Y,6
124500,1041,9600,1959,1041,Y,6
174500,1576,11475,1961,1208,Y,6
122000,960,9768,1955,960,Y,5
82500,708,5330,1940,420,Y,7
110000,1203,7015,1950,709,Y,4
149500,1505,12160,1953,1505,Y,4
175000,1691,9900,1967,1680,Y,5
167000,1644,9600,1953,1416,Y,5
128900,1050,9600,1956,1050,Y,6
140000,1668,9600,1950,856,Y,8
147000,1113,9600,1950,1113,Y,7
124000,1584,8944,1967,1584,Y,5
187500,1453,10573,1961,1453,Y,6
159000,1394,9500,1963,1394,Y,5
256000,1567,14695,1966,1562,Y,8
205000,1986,13600,1965,768,Y,6
193500,2142,13000,1968,896,Y,6
110000,1392,13560,1968,1392,Y,3
104900,1738,12513,1920,715,Y,4
150000,1144,8760,1956,1169,Y,7
156500,1478,8400,1957,1478,Y,3
176000,1329,12285,1960,1329,Y,6
149500,988,9240,1959,988,Y,8
139000,1632,9600,1958,1240,Y,6
155000,1215,12400,1958,1215,Y,7
120000,1202,8750,1956,1202,Y,5
153000,1382,8750,1955,1382,Y,5
144000,1200,10400,1956,1200,Y,5
176000,1382,19296,1962,1362,Y,5
153000,1297,8532,1954,1297,Y,6
135000,1866,9482,1958,1866,Y,4
131000,1062,8128,1954,1062,Y,7
123000,1319,10634,1953,608,Y,6
126000,1112,13070,1951,631,Y,5
115000,1005,10434,1955,1005,Y,5
164900,1363,14559,1951,1008,Y,7
113000,793,8480,1945,793,Y,6
145500,1031,7626,1952,1031,Y,8
102900,1210,9533,1953,0,Y,5
95000,1699,10615,1900,978,Y,5
152500,1527,11419,1948,699,Y,7
129900,1200,9600,1950,1200,Y,6
132000,972,8000,1948,972,Y,6
99900,792,5470,1958,792,Y,5
135000,1656,10410,1916,660,Y,7
149000,1352,10800,1939,676,Y,7
114000,1039,8146,1900,405,Y,8
109500,792,9022,1924,768,Y,8
125000,1078,10230,1925,1054,Y,7
142900,2377,10410,1915,1313,Y,5
156500,1690,7200,1910,560,Y,9
59000,599,5400,1940,416,N,5
105000,1374,5400,1920,840,Y,6
106000,846,10800,1920,720,N,7
78500,725,10800,1890,630,Y,5
190000,2544,9671,1969,1248,Y,5
154000,1380,10143,1963,1380,Y,7
163000,1040,11500,1967,1040,Y,4
200000,2634,11643,1969,1248,Y,5
143500,951,8010,1958,951,Y,9
135000,1105,10454,1957,1105,Y,6
153000,1306,8712,1957,992,Y,7
157500,1478,17600,1960,1478,Y,5
113500,1142,9000,1958,160,Y,6
133000,1268,12144,1949,832,Y,7
92900,1040,8544,1950,0,N,4
128500,1133,8064,1950,795,N,5
90000,1040,7200,1949,0,N,5
138000,1904,7200,1950,1208,Y,4
128000,1041,7350,1958,1041,Y,6
139000,1339,7560,1958,1029,Y,6
118900,732,7200,1952,732,Y,7
138000,1183,8000,1959,528,Y,5
132500,1148,7931,1959,1148,Y,5
133500,1461,10800,1949,832,Y,7
135000,1495,8064,1948,864,Y,7
144750,1806,7570,1964,780,Y,5
145000,941,8604,1978,941,Y,7
127000,1045,7936,1963,1045,Y,6
109500,894,6600,1962,894,N,5
115000,1224,3950,1926,818,Y,8
110000,1230,10440,1910,440,Y,6
128900,1378,4080,1935,901,Y,8
103500,1944,10307,1910,972,N,5
66500,1131,5720,1941,676,Y,6
130000,1306,15660,1910,240,Y,8
129000,1464,9900,1910,504,Y,8
150000,1558,6406,1939,690,Y,6
107500,2372,6600,1892,994,N,4
94550,1701,7627,1920,600,N,6
124500,1960,7596,1952,960,Y,5
135000,1389,3378,1946,651,Y,8
103000,1447,10134,1910,801,N,5
93000,936,6000,1953,936,N,4
129500,1328,6000,1950,768,Y,7
93000,1387,6000,1954,811,Y,4
80000,861,7404,1920,861,Y,6
45000,612,5925,1940,0,N,4
37900,968,5925,1910,600,N,6
91300,886,5784,1938,190,Y,8
99500,792,8520,1923,624,Y,8
113000,1452,4456,1920,736,Y,5
87500,1510,9600,1910,677,Y,4
110000,1284,3500,1947,720,Y,7
106000,2138,8100,1898,849,N,5
265979,2640,11700,1880,1240,N,7
160000,2007,8400,1900,917,Y,7
